item,name,group,party,district,constituency,startdate,enddate,psid
Q100937829,Ya'ara Saks,Q138345,Liberal Party of Canada,Q3572587,York Centre,2020-10-26,,Q100937829-692b22fe-4d0f-da70-0723-71c0b68d2204
Q105490025,Tako van Popta,Q488523,Conservative Party of Canada,Q16999141,Langley—Aldergrove,,,Q105490025-A69FBF7F-C143-4882-80D6-F1793862DFC7
Q1396130,Luc Thériault,Q735105,Bloc Québécois,Q3322478,Montcalm,,,Q1396130-D5CB9328-B2BA-410F-9B89-7EB21B2112C8
Q14946726,John Williamson,Q488523,Conservative Party of Canada,Q3345015,New Brunswick Southwest,,,Q14946726-2315EC2B-1625-48AD-AD52-FF077C5B9A8E
Q15054353,Mélanie Joly,Q138345,Liberal Party of Canada,Q16826254,Ahuntsic-Cartierville,,,Q15054353-A0999EAC-59DA-4721-99A6-A1CFAFD5C9FA
Q15300563,Ted Falk,Q488523,Conservative Party of Canada,Q3408277,Provencher,,,Q15300563-30C41C4C-7971-4C7B-8104-061D7948EE9C
Q16187047,Kerry Diotte,Q488523,Conservative Party of Canada,Q16966780,Edmonton Griesbach,,,Q16187047-1ECA778A-8962-4854-8A9C-0E600979C640
Q16192760,Carol Hughes,Q130765,New Democratic Party,Q2835750,Algoma—Manitoulin—Kapuskasing,,,Q16192760-C43D977A-C7C9-4655-AFEF-5F64081481A8
Q16194184,Richard Martel,Q488523,Conservative Party of Canada,Q2963421,Chicoutimi—Le Fjord,,,Q16194184-831CCB8C-BB73-4F00-AE59-E71DB31D9AC0
Q16211070,Ahmed Hussen,Q138345,Liberal Party of Canada,Q3572599,York South—Weston,2019-10-21,,Q16211070-a60083ca-4a9f-1c98-952e-df81628bee32
Q16215273,Mark Gerretsen,Q138345,Liberal Party of Canada,Q3197139,Kingston and the Islands,,,Q16215273-C547A4F5-64B5-4AAB-8E13-D477700C49AA
Q1685302,Jean-Yves Duclos,Q138345,Liberal Party of Canada,Q3414825,Québec,,,Q1685302-D1C1960E-47D2-4A5F-AD0D-D270A60BAB73
